Waypoint,Cthcm,Latitude,Longitude,Distance,Aspect,Slope,Prof Curv,Plan Curv,Vegetation,pH,Moisture,Sample depth,BD,LOI,TC 
wp2c,17b,66.98205556,-50.55647222,21,S,45,0,+,bare,6.8,1,0-5,1.30,1.46,14606.39453
wp3c,17b,66.98202778,-50.55594444,21,SW,25,-,-,shrub,6.8,5,0-5,0.58,4.21,42125.9107
wp4c,17b,66.98188889,-50.55538889,21,SW,45,-,+,steppe,6.8,1.5,0-5,1.18,1.91,19073.7265
wp5c,17b,66.98111111,-50.55186111,21,S,30,+,+,shrub,6.8,2.5,0-5,0.49,5.98,59812.25422
wp6c,17b,66.98080556,-50.55130556,21,S,5,-,0,steppe,6.7,7,0-5,1.00,3.35,33536.74215
wp7c,17b,66.98080556,-50.55013889,21,S,45,0,+,bare,6.2,2.5,0-5,1.56,1.33,13288.39362
wp8c,17b,66.98069444,-50.54822222,21,S,0,0,0,shrub,6.7,5,0-5,0.91,4.23,42311.8309
wp9c,17b,66.98080556,-50.54747222,21,SE,3,+,0,shrub,6.6,4.5,0-5,0.59,4.19,41897.43493
wp10c,17b,66.98113889,-50.54616667,21,SE,3,-,0,shrub,6.6,7,0-5,0.53,6.53,65254.27323
wp11c,17b,66.98116667,-50.54583333,21,S,3,+,0,shrub,6.8,6.5,0-5,0.76,5.63,56287.12268
wp12c,17b,66.98102778,-50.54483333,21,S,3,+,0,shrub,6.3,7.5,0-5,0.95,4.74,47439.90036
wp13c,17b,66.98077778,-50.54408333,21,SW,0,0,0,steppe,6.9,6.5,0-5,1.30,2.38,23820.47478
wp14c,17b,66.97994444,-50.54516667,21,W,0,0,0,fen,6.7,8,0-5,0.79,5.42,54238.28737
wp15c,17b,66.97827778,-50.55127778,21,N,0,0,0,bare,7,3.5,0-5,1.38,1.37,13652.76258
wp16c,17b,66.9785,-50.55175,21,N,20,-,0,shrub,6.7,4.5,0-5,0.83,3.42,34161.06462
wp17c,17b,66.97861111,-50.55209444,21,N,15,0,-,shrub,6.7,5.5,0-5,0.87,3.41,34059.11085
wp18c,17b,66.97863889,-50.55325,21,N,3,+,-,shrub,6.7,5.5,0-5,0.50,5.95,59538.6205
wp19c,17b,66.97886111,-50.55575,21,N,3,+,0,grass,6.2,7.5,0-5,0.66,5.49,54881.77685
wp20c,17b,66.97902778,-50.55636111,21,N,30,-,+,bare,6.7,1,0-5,1.17,2.73,27345.09629
wp21c,17b,66.97933333,-50.55752778,21,N,0,0,0,shrub,6.7,5,0-5,0.74,4.05,40530.82175
wp22c,17b,66.98138889,-50.55902778,21,SW,5,-,+,bare,7,1,0-5,1.83,0.72,7181.925605
wp23c,17b,66.96666667,-50.55,21,SW,0,0,0,mixed,6.4,1,0-5,0.56,5.89,58872.98315
wp24c,17b,66.9805,-50.56027778,21,NE,45,0,0,mixed,7,1,0-5,1.17,0.86,8597.984197
wp25c,17b,66.97927778,-50.55636111,21,NE,3,-,0,shrub,7,3,0-5,0.78,3.56,35592.67588
wp26c,17b,66.98002778,-50.54369444,21,,30,0,-,mixed,6.4,8,0-5,0.59,6.26,62587.8857
wp27c,17b,66.9795,-50.54372222,21,W,30,0,0,mixed,6.5,6,0-5,0.60,6.37,63658.42544
wp28c,17b,66.97905556,-50.54369444,21,W,45,0,0,mixed,6.5,5,0-5,0.75,5.99,59926.60181
wp29c,17b,66.97861111,-50.544,21,W,45,0,+,shrub,6.9,3.5,0-5,0.51,4.40,43983.56297
wp30c,17b,66.97827778,-50.54416667,21,W,45,0,0,mixed,6.6,8,0-5,0.52,6.97,69652.1473
